node_id,vertex_index,   ,x,y,z,  ,exported_x,exported_y,exported_z,  
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],143,   ,-75,-126,12,   ,-78,-121,12,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],144,   ,-70,-126,14,   ,-69,-125,16,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],145,   ,-64,-127,18,   ,-56,125,24,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],146,   ,-73,125,13,   ,-82,-126,10,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],147,   ,-52,122,25,   ,-45,120,33,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],148,   ,-24,-126,54,   ,-32,-124,45,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],149,   ,-5,126,96,   ,-8,-127,88,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],150,   ,-2,126,126,   ,-1,127,-124,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],151,   ,-5,126,-99,   ,-7,127,-89,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],152,   ,-11,126,-81,   ,-9,127,-83,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],153,   ,-27,121,-52,   ,-25,123,-53,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],154,   ,-30,119,-49,   ,-33,121,-44,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],155,   ,-63,123,-20,   ,-64,127,-18,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],156,   ,-72,-127,-15,   ,-73,127,-12,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],157,   ,-109,-122,-3,   ,-108,-122,-2,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],158,   ,-114,-121,-3,   ,-118,-122,-1,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],159,   ,-52,-125,-28,   ,-53,-122,-25,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],160,   ,-24,123,-57,   ,-26,123,-52,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],161,   ,-7,126,-92,   ,-7,-128,-87,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],162,   ,-2,126,126,   ,-1,-128,124,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],163,   ,-7,126,89,   ,-4,-128,101,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],164,   ,-18,126,64,   ,-24,-128,56,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],165,   ,-2,126,126,   ,-1,-128,127,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],166,   ,-18,126,-67,   ,-20,127,-60,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],167,   ,-37,121,-41,   ,-37,122,-39,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],168,   ,-31,-120,-48,   ,-30,-122,-46,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],169,   ,-56,-117,-25,   ,-55,-117,-24,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],170,   ,-120,-125,-2,   ,-123,-125,0,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],171,   ,126,-123,-2,   ,-120,-125,0,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],172,   ,-57,-122,-24,   ,-63,-120,-19,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],173,   ,-30,-118,-49,   ,-36,-114,-41,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],174,   ,-24,-125,-56,   ,-23,-125,-56,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],175,   ,-12,126,-78,   ,-12,127,-75,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],176,   ,-2,126,126,   ,-1,-128,-118,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],177,   ,-12,126,75,   ,-13,-128,74,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],178,   ,-25,123,54,   ,-22,123,58,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],179,   ,-91,-125,-7,   ,-90,-127,-6,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],180,   ,-91,-123,-7,   ,-89,-123,-7,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],181,   ,-76,-125,-13,   ,-78,-124,-11,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],182,   ,-91,-123,-7,   ,-88,-122,-7,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],183,   ,-123,-124,-2,   ,-125,-124,0,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],184,   ,97,-128,-5,   ,94,-128,-4,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],185,   ,83,126,-10,   ,81,126,-9,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],186,   ,65,123,-17,   ,66,124,-16,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],187,   ,60,122,-20,   ,58,123,-21,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],188,   ,62,122,-19,   ,65,124,-16,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],189,   ,-117,-121,-2,   ,-107,-119,-2,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],190,   ,-57,-119,-24,   ,-54,-115,-25,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],191,   ,-28,-123,-52,   ,-33,-121,-44,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],192,   ,-18,-126,-67,   ,-19,-128,-63,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],193,   ,-10,126,-82,   ,-15,127,-69,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],194,   ,-2,126,126,   ,-1,-128,-120,   
